date;heure;dept;ville;CP;adresse;adresse complete;carr;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh;wgs84
2012-09-03;20:00;75;Paris;75016;ECHANGEUR MUETTE;BD PERIPHERIQUE EXTERIEUR;;BD PERIPHERIQUE EXTERIEUR;;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.86363, 2.27642
2012-07-07;22:22;75;Paris;75016;PLACE CHARLES DE GAULLE;PLACE CHARLES DE GAULLE;1_75116_2004;PLACE CHARLES DE GAULLE;AVENUE DE LA GRANDE ARMEE;Scoo<=50;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.873338, 2.294456
2012-12-02;18:25;75;Paris;75007;38, AVENUE DE LA MOTTE P;38, AVENUE DE LA MOTTE PICQUET;;AVENUE DE LA MOTTE PICQUET;;VL;A;Scoo>125;B;;;Cond;BL;A;Cond;BL;B;Pass;BL;B;;;;48.855054, 2.306353
2012-07-04;01:49;75;Paris;75007;39, RUE DE SEVRES;39, RUE DE SEVRES;1_75107_4428;RUE DE SEVRES;RUE VELPEAU;Scoo<=50;A;VL;B;;;Cond;BL;A;Pass;BL;A;Cond;Indem;B;;;;48.851068, 2.326293
2013-07-07;13:40;75;Paris;75007;39, QUAI D ORSAY;39, QUAI D ORSAY;1_75107_3350;QUAI D ORSAY;PLACE DE FINLANDE;Scoo<=50;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;;48.862364, 2.311391
2013-10-07;15:05;75;Paris;75007;40, RUE DE SEVRES;40, RUE DE SEVRES;;RUE DE SEVRES;;VU;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.84989, 2.323283
2013-06-20;13:23;75;Paris;75007;40, RUE DE VERNEUIL;40, RUE DE VERNEUIL;;RUE DE VERNEUIL;;VL;A;;;;;Piéton;BL;A;Cond;Indem;A;;;;;;;48.858124, 2.328835
2012-01-06;17:15;75;Paris;75007;43, RUE DU BAC;43, RUE DU BAC;1_75107_4551;RUE DU BAC;RUE DE GRIBEAUVAL;Cyclo;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.856377, 2.326568
2012-01-18;20:45;75;Paris;75007;45, BOULEVARD DES INVALI;45, BOULEVARD DES INVALIDES;;BOULEVARD DES INVALIDES;;Scoo<=50;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.850023, 2.315107
2013-10-20;02:52;75;Paris;75007;50, RUE FABERT;50, RUE FABERT;1_75107_3323;RUE FABERT;RUE DE GRENELLE;Scoo50-125;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;;48.858468, 2.311075
2013-11-10;04:30;75;Paris;75007;51, QUAI BRANLY;51, QUAI BRANLY;;QUAI BRANLY;;Scoo<=50;A;;;;;Cond;BH;A;;;;;;;;;;48.861703, 2.298229
2012-09-27;14:25;75;Paris;75007;52, RUE DE SEVRES;52, RUE DE SEVRES;1_75107_4010;RUE DE SEVRES;RUE VANEAU;Bus;A;;;;;Pass;BL;A;Cond;Indem;A;;;;;;;48.848286, 2.320105
2013-02-13;15:50;75;Paris;75007;52, RUE DE SEVRES;52, RUE DE SEVRES;1_75107_3978;RUE DE SEVRES;RUE SAINT ROMAIN;PL>7,5;A;Bicy;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.848286, 2.320105
2012-07-23;03:27;75;Paris;75007;59, QUAI BRANLY;59, QUAI BRANLY;1_75107_2103;QUAI BRANLY;AVENUE DE LA BOURDONNAIS;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.860637, 2.295971
2012-01-13;13:40;75;Paris;75007;61, RUE DE SEVRES;61, RUE DE SEVRES;1_75107_4305;RUE DE SEVRES;RUE DU BAC;VL;A;Scoo<=50;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.850125, 2.324061
2013-05-31;21:30;75;Paris;75007;67, QUAI BRANLY;67, QUAI BRANLY;1_75107_2061;QUAI BRANLY;ALLEE PAUL DESCHANEL;Bicy;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.860196, 2.295331
2012-04-29;11:35;75;Paris;75007;69, QUAI D ORSAY;69, QUAI D ORSAY;;QUAI D ORSAY;;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.86225, 2.30598
2012-01-17;09:20;75;Paris;75007;71, AVENUE DE SUFFREN;71, AVENUE DE SUFFREN;;AVENUE DE SUFFREN;;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.851726, 2.300274
2012-11-16;19:40;75;Paris;75007;83, AVENUE DE LA BOURDON;83, AVENUE DE LA BOURDONNAIS;1_75107_2691;AVENUE DE LA BOURDONNAIS;RUE DE GRENELLE;Bus;A;;;;;Cond;BL;A;Piéton;BL;A;;;;;;;48.856221, 2.302496
2012-10-27;18:30;75;Paris;75007;88, RUE DE SEVRES;88, RUE DE SEVRES;1_75107_3598;RUE DE SEVRES;RUE MAURICE DE LA SIZERANNE;VL;A;Scoo50-125;B;;;Cond;BL;B;Pass;BL;B;Cond;Indem;A;;;;48.847127, 2.317166
2013-03-26;22:45;75;Paris;75007;90, RUE DE GRENELLE;90, RUE DE GRENELLE;1_75107_4238;RUE DE GRENELLE;RUE DE SAINT SIMON;Bicy;A;;;;;Cond;BL;A;;;;;;;;;;48.855617, 2.32362
2012-07-09;08:00;75;Paris;75007;96, BOULEVARD DE LA TOUR;96, BOULEVARD DE LA TOUR MAUBOURG;1_75107_3188;BOULEVARD DE LA TOUR MAUBOURG;AVENUE DE TOURVILLE;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.854239, 2.309381
2012-02-05;13:00;75;Paris;75007;98, RUE DE SEVRES;98, RUE DE SEVRES;1_75107_3491;RUE DE SEVRES;AVENUE DE SAXE;Moto50-125;A;;;;;Cond;BL;A;Piéton;BL;A;;;;;;;48.84612, 2.314053
2013-04-03;14:35;75;Paris;75007;116, RUE DU BAC;116, RUE DU BAC;1_75107_4263;RUE DU BAC;RUE DE COMMAILLE;VL;A;;;;;Piéton;BL;A;Cond;Indem;A;;;;;;;48.852672, 2.323579
2013-12-20;16:20;75;Paris;75007;129, RUE DE GRENELLE;129, RUE DE GRENELLE;1_75107_3490;RUE DE GRENELLE;PLACE DES INVALIDES;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.857957, 2.314877
2012-05-15;15:20;75;Paris;75007;130, RUE DU BAC;130, RUE DU BAC;1_75107_4252;RUE DU BAC;RUE DE BABYLONE;VL;A;;;;;Cond;Indem;A;Piéton;BL;A;;;;;;;48.85169, 2.323475
2013-12-18;14:05;75;Paris;75007;152, RUE DE GRENELLE;152, RUE DE GRENELLE;1_75107_3231;RUE DE GRENELLE;BOULEVARD DE LA TOUR MAUBOURG;VU;A;;;;;Piéton;BL;A;Cond;Indem;A;;;;;;;48.85815, 2.31058
2012-09-29;13:25;75;Paris;75007;233, BOULEVARD SAINT GER;233, BOULEVARD SAINT GERMAIN;;BOULEVARD SAINT GERMAIN;;Scoo<=50;A;Scoo50-125;B;VL;C;Cond;Indem;C;Cond;BL;B;Cond;Indem;A;;;;48.860665, 2.320836
2012-07-18;16:55;75;Paris;75007;243, BOULEVARD SAINT GER;243, BOULEVARD SAINT GERMAIN;1_75107_3935;BOULEVARD SAINT GERMAIN;RUE ARISTIDE BRIAND;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;;48.861765, 2.319799
2013-10-20;03:15;75;Paris;75007;280, BOULEVARD SAINT GER;280, BOULEVARD SAINT GERMAIN;1_75107_4014;BOULEVARD SAINT GERMAIN;RUE DE LILLE;Scoo50-125;A;;;;;Cond;BH;A;;;;;;;;;;48.861284, 2.320765
2013-09-22;04:55;75;Paris;75007;288, BOULEVARD SAINT GER;288, BOULEVARD SAINT GERMAIN;1_75107_3935;BOULEVARD SAINT GERMAIN;RUE ARISTIDE BRIAND;VL;Z;;;;;Piéton;BL;Z;;;;;;;;;;48.86205, 2.320043
